actor,claim,source_name,source_url,side_tag,confidence
Pete Hegseth,Pete Hegseth was a co-host of Fox News' FOX & Friends Weekend.,Fox News profile,https://www.foxnews.com/person/h/pete-hegseth,us-political,documented
Pete Hegseth,Pete Hegseth was a co-host of Fox News' FOX & Friends Weekend.,Wikipedia bio,https://en.wikipedia.org/wiki/Pete_Hegseth,us-political,documented
JD Vance,JD Vance has served as a U.S. Senator from Ohio.,Congress.gov profile,https://www.congress.gov/member/j-d-vance/V000137,us-political,documented
JD Vance,JD Vance has served as a U.S. Senator from Ohio.,U.S. Senate directory,https://www.senate.gov/senators/senators-contact.htm,us-political,documented
Howard Lutnick,Howard Lutnick is Chairman and CEO of Cantor Fitzgerald.,Cantor leadership,https://www.cantor.com/leadership/howard-w-lutnick/,finance,documented
Howard Lutnick,Howard Lutnick is Chairman and CEO of Cantor Fitzgerald.,Britannica profile,https://www.britannica.com/biography/Howard-Lutnick,finance,documented
Marco Rubio,Marco Rubio has served as U.S. Senator from Florida.,Congress.gov profile,https://www.congress.gov/member/marco-rubio/R000595,us-political,documented
Marco Rubio,Marco Rubio has served as U.S. Senator from Florida.,U.S. Senate directory,https://www.senate.gov/senators/senators-contact.htm,us-political,documented
Tulsi Gabbard,Tulsi Gabbard served as U.S. Representative for Hawaii's 2nd district (2013–2021).,Congress.gov profile,https://www.congress.gov/member/tulsi-gabbard/G000571,us-political,documented
Tulsi Gabbard,Tulsi Gabbard served as U.S. Representative for Hawaii's 2nd district (2013–2021).,Bioguide,https://bioguide.congress.gov/search/bio/G000571,us-political,documented
David Sacks,David Sacks is a co-founder of Craft Ventures.,Craft Ventures team,https://craftventures.com/team/david-sacks/,tech-capital,documented
David Sacks,David Sacks is a co-founder of Craft Ventures.,Wikipedia bio,https://en.wikipedia.org/wiki/David_O._Sacks,tech-capital,documented
Brendan Carr,Brendan Carr is an FCC Commissioner.,FCC biography,https://www.fcc.gov/about/leadership/brendan-carr,regulatory,documented
Brendan Carr,Brendan Carr is an FCC Commissioner.,Congress nomination,https://www.congress.gov/nomination/115th-congress/269,regulatory,documented
Andrew Ferguson,Andrew N. Ferguson is an FTC Commissioner.,FTC biography,https://www.ftc.gov/about-ftc/commissioners-staff/andrew-n-ferguson,regulatory,documented
Andrew Ferguson,Andrew N. Ferguson is an FTC Commissioner.,Congress nomination,https://www.congress.gov/nomination/118th-congress/223,regulatory,documented
Doug Burgum,Doug Burgum served as Governor of North Dakota.,NGA profile,https://www.nga.org/governor/doug-burgum/,us-political,documented
Doug Burgum,Doug Burgum served as Governor of North Dakota.,Britannica profile,https://www.britannica.com/biography/Doug-Burgum,us-political,documented
Chris Wright,Chris Wright served as Chairman/CEO of Liberty Energy.,Liberty leadership,https://libertyenergy.com/leadership/chris-wright/,energy,documented
Chris Wright,Chris Wright served as Chairman/CEO of Liberty Energy.,Liberty investors,https://libertyenergy.com/investors/,energy,documented
Donald J. Trump,Donald Trump served as the 45th U.S. President (2017–2021).,Trump White House archive,https://trumpwhitehouse.archives.gov/,us-presidents,documented
Donald J. Trump,Donald Trump served as the 45th U.S. President (2017–2021).,U.S. National Archives,https://www.archives.gov/presidential-libraries,us-presidents,documented
Joseph R. Biden Jr.,Joe Biden served as the 46th U.S. President.,White House bio,https://www.whitehouse.gov/administration/president-biden/,us-presidents,documented
Joseph R. Biden Jr.,Joe Biden served as the 46th U.S. President.,Britannica profile,https://www.britannica.com/biography/Joe-Biden,us-presidents,documented
Barack Obama,Barack Obama served as the 44th U.S. President (2009–2017).,Obama White House archive,https://obamawhitehouse.archives.gov/,us-presidents,documented
Barack Obama,Barack Obama served as the 44th U.S. President (2009–2017).,White House presidents,https://www.whitehouse.gov/about-the-white-house/presidents/,us-presidents,documented
Hillary Rodham Clinton,Hillary Clinton served as U.S. Secretary of State (2009–2013).,State Dept history,https://history.state.gov/departmenthistory/people/secretaries-of-state,us-political,documented
Hillary Rodham Clinton,Hillary Clinton served as U.S. Secretary of State (2009–2013).,State archive,https://2009-2017.state.gov/,us-political,documented
George W. Bush,George W. Bush served as the 43rd U.S. President (2001–2009).,White House page,https://www.whitehouse.gov/about-the-white-house/presidents/george-w-bush/,us-presidents,documented
George W. Bush,George W. Bush served as the 43rd U.S. President (2001–2009).,Bush Center,https://www.bushcenter.org/,us-presidents,documented
Mark Zuckerberg,Mark Zuckerberg is co-founder and CEO of Meta Platforms.,Meta leadership,https://about.meta.com/our-leadership/mark-zuckerberg/,tech,documented
Mark Zuckerberg,Mark Zuckerberg is co-founder and CEO of Meta Platforms.,Meta IR,https://investor.atmeta.com/,tech,documented
Tim Cook,Tim Cook is CEO of Apple Inc.,Apple leadership,https://www.apple.com/leadership/tim-cook/,tech,documented
Tim Cook,Tim Cook is CEO of Apple Inc.,Apple IR,https://investor.apple.com/,tech,documented
Jeff Bezos,Jeff Bezos founded Amazon and serves as Executive Chair.,Amazon leadership,https://www.aboutamazon.com/about-us/leadership,tech,documented
Jeff Bezos,Jeff Bezos founded Amazon and serves as Executive Chair.,Amazon IR,https://ir.aboutamazon.com/,tech,documented
Jared Kushner,Jared Kushner founded Affinity Partners after leaving the White House.,Affinity Partners,https://affinitypartners.com/,foreign-influence,reported
Jared Kushner,Jared Kushner founded Affinity Partners after leaving the White House.,NYT reporting,https://www.nytimes.com/2022/04/10/us/jared-kushner-saudi-investment-fund.html,foreign-influence,reported
Jared Kushner,Saudi PIF invested $2B in Affinity Partners; reporting also covers Affinity/Qatar sovereign wealth engagement.,NYT PIF investment report,https://www.nytimes.com/2022/04/10/us/jared-kushner-saudi-investment-fund.html,foreign-influence,reported
Jared Kushner,Saudi PIF invested $2B in Affinity Partners; reporting also covers Affinity/Qatar sovereign wealth engagement.,Reuters search,https://www.reuters.com/site-search/?query=Jared%20Kushner%20Affinity%20Qatar%20Investment%20Authority,foreign-influence,reported
Jared Kushner,Kushner served as Senior Advisor in Trump White House with major Middle East diplomacy contacts.,Trump White House bio,https://trumpwhitehouse.archives.gov/people/jared-kushner/,foreign-influence,documented
Jared Kushner,Kushner served as Senior Advisor in Trump White House with major Middle East diplomacy contacts.,Mueller Report PDF,https://www.justice.gov/archives/sco/file/1373816/dl,foreign-influence,documented
Tom Barrack,Tom Barrack chaired Trump’s 2017 inaugural committee and led Colony Capital (DigitalBridge).,DigitalBridge,https://www.digitalbridge.com/,foreign-influence,reported
Tom Barrack,Tom Barrack chaired Trump’s 2017 inaugural committee and led Colony Capital (DigitalBridge).,Reuters search,https://www.reuters.com/site-search/?query=Tom%20Barrack%20inaugural%20committee,foreign-influence,reported
Tom Barrack,DOJ charged Barrack in 2021 with acting as an unregistered agent for UAE interests.,DOJ indictment press release,https://www.justice.gov/opa/pr/founder-and-former-ceo-los-angeles-based-private-equity-firm-and-two-others-charged,foreign-influence,documented
Tom Barrack,DOJ charged Barrack in 2021 with acting as an unregistered agent for UAE interests.,Reuters case coverage,https://www.reuters.com/site-search/?query=Tom%20Barrack%20UAE%20agent,foreign-influence,documented
Tom Barrack,Barrack was acquitted in 2022 on foreign-agent related charges.,Reuters verdict story,https://www.reuters.com/world/us/trump-ally-tom-barrack-found-not-guilty-foreign-agent-charges-2022-11-04/,foreign-influence,documented
Tom Barrack,Barrack was acquitted in 2022 on foreign-agent related charges.,EDNY office page,https://www.justice.gov/usao-edny,foreign-influence,documented
Steve Witkoff,Steve Witkoff is founder/chairman of the Witkoff Group.,Witkoff Group,https://www.witkoff.com/,foreign-influence,documented
Steve Witkoff,Steve Witkoff is founder/chairman of the Witkoff Group.,Bloomberg search,https://www.bloomberg.com/search?query=Steve%20Witkoff,foreign-influence,documented
Steve Witkoff,Major media have reported Witkoff in high-level diplomacy/foreign-contact channels tied to Trump-world.,Reuters search,https://www.reuters.com/site-search/?query=Steve%20Witkoff%20foreign%20contacts,foreign-influence,reported
Steve Witkoff,Major media have reported Witkoff in high-level diplomacy/foreign-contact channels tied to Trump-world.,NYT search,https://www.nytimes.com/search?query=Steve%20Witkoff,foreign-influence,reported
Steve Witkoff,No known public DOJ press release charging Witkoff under FARA.,DOJ news archive,https://www.justice.gov/news,foreign-influence,reported
Steve Witkoff,No known public DOJ press release charging Witkoff under FARA.,FARA database,https://efile.fara.gov/ords/fara/f?p=1381:1,foreign-influence,reported
Michael Flynn,Michael Flynn served as National Security Advisor in 2017 and previously led DIA.,Trump White House archive,https://trumpwhitehouse.archives.gov/,foreign-influence,documented
Michael Flynn,Michael Flynn served as National Security Advisor in 2017 and previously led DIA.,DIA,https://www.dia.mil/,foreign-influence,documented
Michael Flynn,Flynn pleaded guilty to making false statements to the FBI in 2017 (later pardoned).,DOJ case filing,https://www.justice.gov/file/1015121/download,foreign-influence,documented
Michael Flynn,Flynn pleaded guilty to making false statements to the FBI in 2017 (later pardoned).,CourtListener docket,https://www.courtlistener.com/docket/6234142/united-states-v-flynn/,foreign-influence,documented
Michael Flynn,Flynn’s Turkey-related work drew FARA-related scrutiny.,Reuters search,https://www.reuters.com/site-search/?query=Michael%20Flynn%20Turkey%20FARA,foreign-influence,reported
Michael Flynn,Flynn’s Turkey-related work drew FARA-related scrutiny.,Senate Judiciary,https://www.judiciary.senate.gov/,foreign-influence,reported
Paul Manafort,Paul Manafort served as Trump campaign chairman in 2016.,Reuters search,https://www.reuters.com/site-search/?query=Paul%20Manafort%20campaign%20chairman,foreign-influence,documented
Paul Manafort,Paul Manafort served as Trump campaign chairman in 2016.,FEC data,https://www.fec.gov/data/,foreign-influence,documented
Paul Manafort,Manafort’s lobbying for pro-Russian Ukrainian interests was central in DOJ prosecutions/FARA scrutiny.,DOJ SCO archive,https://www.justice.gov/archives/sco,foreign-influence,documented
Paul Manafort,Manafort’s lobbying for pro-Russian Ukrainian interests was central in DOJ prosecutions/FARA scrutiny.,Reuters search,https://www.reuters.com/site-search/?query=Paul%20Manafort%20Ukraine%20lobbying%20FARA,foreign-influence,documented
Paul Manafort,Manafort was convicted on federal financial crimes and later pardoned by Trump.,DOJ news archive,https://www.justice.gov/news,foreign-influence,documented
Paul Manafort,Manafort was convicted on federal financial crimes and later pardoned by Trump.,Reuters search,https://www.reuters.com/site-search/?query=Paul%20Manafort%20pardon,foreign-influence,documented
Rudy Giuliani,Rudy Giuliani served as Mayor of New York City and later as Donald Trump’s personal attorney.,NYC official site,https://www.nyc.gov/,foreign-influence,documented
Rudy Giuliani,Rudy Giuliani served as Mayor of New York City and later as Donald Trump’s personal attorney.,Reuters search,https://www.reuters.com/site-search/?query=Rudy%20Giuliani%20Trump%20lawyer,foreign-influence,documented
Rudy Giuliani,Giuliani’s Ukraine activities drew federal investigative and FARA-related scrutiny.,Reuters search,https://www.reuters.com/site-search/?query=Giuliani%20Ukraine%20investigation%20FARA,foreign-influence,reported
Rudy Giuliani,Giuliani’s Ukraine activities drew federal investigative and FARA-related scrutiny.,DOJ news archive,https://www.justice.gov/news,foreign-influence,reported
Rudy Giuliani,Giuliani has faced major U.S. legal actions tied to election-related conduct.,CourtListener search,https://www.courtlistener.com/?q=Rudy%20Giuliani,foreign-influence,documented
Rudy Giuliani,Giuliani has faced major U.S. legal actions tied to election-related conduct.,Reuters search,https://www.reuters.com/site-search/?query=Rudy%20Giuliani%20lawsuit%20verdict,foreign-influence,documented
Benjamin Netanyahu,Netanyahu has served multiple terms as Prime Minister of Israel and is the longest-serving PM in Israeli history.,PM Office bio,https://www.gov.il/en/departments/people/prime_minister,middle-east,documented
Benjamin Netanyahu,Netanyahu has served multiple terms as Prime Minister of Israel and is the longest-serving PM in Israeli history.,Britannica,https://www.britannica.com/biography/Benjamin-Netanyahu,middle-east,documented
Benjamin Netanyahu,Netanyahu is on trial in Israel on corruption charges (which he denies).,Reuters search,https://www.reuters.com/site-search/?query=Netanyahu%20trial%20bribery%20fraud%20breach%20of%20trust,middle-east,documented
Benjamin Netanyahu,Netanyahu is on trial in Israel on corruption charges (which he denies).,Times of Israel trial tracker,https://www.timesofisrael.com/topic/netanyahu-trial/,middle-east,documented
Benjamin Netanyahu,Gaza operations under Netanyahu drew massive civilian-casualty scrutiny and international legal challenges.,UN OCHA oPt,https://www.ochaopt.org/,middle-east,reported
Benjamin Netanyahu,Gaza operations under Netanyahu drew massive civilian-casualty scrutiny and international legal challenges.,ICJ case 192,https://www.icj-cij.org/case/192,middle-east,reported
Hamas Leadership,"Hamas carried out the Oct. 7, 2023 attacks including mass killings and hostage-taking.",OHCHR,https://www.ohchr.org/,middle-east,documented
Hamas Leadership,"Hamas carried out the Oct. 7, 2023 attacks including mass killings and hostage-taking.",Reuters Middle East,https://www.reuters.com/world/middle-east/,middle-east,documented
Hamas Leadership,Hamas is designated as a Foreign Terrorist Organization by the U.S.,U.S. State FTO list,https://www.state.gov/foreign-terrorist-organizations/,middle-east,documented
Hamas Leadership,Hamas is designated as a Foreign Terrorist Organization by the U.S.,Reuters Middle East,https://www.reuters.com/world/middle-east/,middle-east,documented
Hamas Leadership,Hostage policy and urban-war tactics have been central obstacles in ceasefire negotiations.,ICRC,https://www.icrc.org/,middle-east,reported
Hamas Leadership,Hostage policy and urban-war tactics have been central obstacles in ceasefire negotiations.,UNSC,https://www.un.org/securitycouncil/,middle-east,reported
Iranian IRGC Leadership,IRGC is designated by the U.S. as a Foreign Terrorist Organization.,U.S. State FTO list,https://www.state.gov/foreign-terrorist-organizations/,middle-east,documented
Iranian IRGC Leadership,IRGC is designated by the U.S. as a Foreign Terrorist Organization.,U.S. Treasury Iran sanctions,https://home.treasury.gov/policy-issues/financial-sanctions/sanctions-programs-and-country-information/iran-sanctions,middle-east,documented
Iranian IRGC Leadership,IRGC-linked support to regional armed groups is treated as a key escalation vector.,DoD,https://www.defense.gov/,middle-east,reported
Iranian IRGC Leadership,IRGC-linked support to regional armed groups is treated as a key escalation vector.,UNSC,https://www.un.org/securitycouncil/,middle-east,reported
Iranian IRGC Leadership,IRGC activities have triggered repeated sanctions and military counter-actions.,U.S. Treasury,https://home.treasury.gov/,middle-east,documented
Iranian IRGC Leadership,IRGC activities have triggered repeated sanctions and military counter-actions.,EU sanctions policy,https://www.consilium.europa.eu/en/policies/sanctions/,middle-east,documented
U.S. National Security Leadership,The U.S. has provided major military and diplomatic support to Israel during the war.,DoD releases,https://www.defense.gov/News/Releases/,middle-east,documented
U.S. National Security Leadership,The U.S. has provided major military and diplomatic support to Israel during the war.,State press releases,https://www.state.gov/press-releases/,middle-east,documented
U.S. National Security Leadership,U.S. force-posture shifts in the region expanded military footprint during the conflict.,CENTCOM releases,https://www.centcom.mil/MEDIA/PRESS-RELEASES/,middle-east,documented
U.S. National Security Leadership,U.S. force-posture shifts in the region expanded military footprint during the conflict.,DoD,https://www.defense.gov/,middle-east,documented
U.S. National Security Leadership,U.S. UN Security Council positions significantly affect ceasefire diplomacy trajectories.,UNSC records,https://www.un.org/securitycouncil/,middle-east,reported
U.S. National Security Leadership,U.S. UN Security Council positions significantly affect ceasefire diplomacy trajectories.,U.S. Mission to UN,https://usun.usmission.gov/,middle-east,reported
